square_footage,location,price
1274,Suburb,203000
2810,Suburb,302000
2599,Suburb,333168
948,Downtown,119000
2112,Suburb,206900
1630,Suburb,295493
1352,Suburb,208900
1787,Suburb,275000
948,Downtown,111000
1478,Suburb,156500
720,Downtown,72500
1923,Suburb,190000
708,Downtown,82500
1795,Suburb,147000
796,Downtown,55000
774,Downtown,79000
816,Rural,130500
2792,Downtown,256000
1632,Suburb,176500
1588,Suburb,227000
954,Suburb,132500
816,Downtown,100000
1360,Downtown,125500
1365,Suburb,125000
1334,Suburb,167900
1656,Suburb,135000
693,Downtown,52500
1861,Suburb,200000
864,Suburb,128500
872,Suburb,123000
1114,Rural,155000
2169,Suburb,228500
1913,Downtown,177000
1456,Suburb,155835
960,Downtown,108500
2156,Suburb,262500
1776,Rural,283463
1494,Rural,215000
2358,Downtown,122000
2634,Suburb,200000
1716,Suburb,171000
1176,Downtown,134900
3238,Suburb,410000
1865,Suburb,235000
1920,Suburb,170000
892,Suburb,110000
1078,Suburb,149900
1573,Suburb,177500
1980,Suburb,315000
2601,Downtown,189000
1530,Suburb,260000
1738,Suburb,104900
1412,Suburb,156932
1200,Suburb,144152
1674,Suburb,216000
1790,Suburb,193000
1475,Suburb,127000
848,Suburb,144000
1668,Suburb,232000
1374,Downtown,105000
1661,Suburb,165500
2097,Suburb,274300
2633,Suburb,466500
1958,Suburb,250000
1571,Rural,239000
790,Downtown,91000
1604,Downtown,117000
987,Suburb,83000
1394,Rural,167500
864,Downtown,58500
2117,Suburb,237500
1762,Downtown,157000
1416,Rural,112000
1258,Downtown,105000
1154,Downtown,125500
2784,Suburb,250000
2526,Downtown,136000
1746,Suburb,377500
1218,Downtown,131000
1525,Suburb,235000
1584,Suburb,124000
900,Suburb,123000
1912,Downtown,163000
1500,Suburb,246578
2482,Rural,281213
1687,Rural,160000
1513,Downtown,137500
1904,Suburb,138000
1608,Downtown,137450
1158,Downtown,120000
1593,Suburb,193000
1294,Suburb,193879
1464,Suburb,282922
1214,Downtown,105000
1646,Downtown,275000
768,Suburb,133000
833,Rural,112000
1363,Downtown,125500
2093,Suburb,215000
1840,Suburb,230000
1668,Suburb,140000
1040,Suburb,90000
1844,Rural,257000
1848,Downtown,207000
1569,Suburb,175900
2290,Downtown,122500
2450,Suburb,340000
1144,Suburb,124000
1844,Downtown,223000
1416,Suburb,179900
1069,Suburb,127500
848,Suburb,136500
2201,Downtown,274970
1344,Suburb,144000
1252,Suburb,142000
2127,Suburb,271000
1558,Suburb,140000
804,Downtown,119000
1440,Suburb,182900
1838,Suburb,192140
958,Suburb,143750
968,Downtown,64500
1792,Suburb,186500
1126,Rural,160000
1537,Suburb,174000
864,Suburb,120500
1932,Suburb,394617
1236,Downtown,149700
1725,Suburb,197000
2555,Downtown,191000
848,Suburb,149300
2007,Suburb,310000
952,Downtown,121000
1422,Suburb,179600
913,Rural,129000
1188,Rural,157900
2090,Suburb,240000
1346,Downtown,112000
630,Suburb,92000
1792,Suburb,136000
1578,Suburb,287090
1072,Downtown,145000
1140,Rural,84500
1221,Suburb,185000
1647,Suburb,175000
2073,Suburb,210000
2340,Downtown,266500
1078,Suburb,142125
1256,Downtown,147500
